edge_id,length (m)
963,2.391756676670255
1024,2.752180953313246
1241,2.899137802766063
1333,2.587121953440871
1402,2.565345980435381
1682,2.802231254159467
2547,2.5303161861514263
2797,2.243211982802678
2805,2.7459060436500984
3109,1.6376812873062347
3152,1.1764777944768232
3222,2.8711693925330457
3291,1.8031361567615503
3325,1.191049957344973
3327,1.6819036839664174
3340,2.5268557539276295
3354,2.0500975580996115
3357,1.7565022058723827
3375,1.9431161600341855
3383,1.9697715601700978
3474,2.2737853901943836
